State,Farm_ind,Policy_ind,Broadband_Avail_FCC,Broadband_Usage,TRN_BC_Number_of_Internet_Providers,DEM_2020Census_HousingUnits_Total,FED_USDA_Amount,HHS_SAIPE_Poverty_Rate,mean_plan_price
ND,1,0,0.9587131578947369,0.4213947368421052,6.947368421052632,2241.842105263158,15121462.289473685,0.11286842105263159,54.08742971817972
NE,0,1,0.9612774193548387,0.4696774193548388,11.516129032258064,23026.612903225807,27980451.903225806,0.09945161290322581,62.097449044011555
NE,1,1,0.7866903225806449,0.22549152542372874,8.870967741935484,2104.0806451612902,6450406.338709678,0.11687096774193549,75.97551274018376
NH,0,0,0.94478,0.6648,9.8,63879.5,121347837.6,0.0883,61.396070709315985
NJ,0,0,0.9850523809523808,0.7339523809523811,9.476190476190476,179106.14285714287,72384091.66666667,0.08971428571428573,48.69781656645229
NM,0,0,0.7170222222222223,0.33051851851851854,10.444444444444445,34165.81481481482,41479194.37037037,0.19318518518518518,65.52401519468187
NM,1,0,0.6319166666666667,0.29550000000000004,5.666666666666667,3063.6666666666665,13803678.0,0.1915,63.98333333333333
NV,0,1,0.6440117647058825,0.3543529411764706,7.470588235294118,75354.0,56370450.294117644,0.12170588235294118,95.6723343955592
NY,0,0,0.9634209677419355,0.5717741935483869,9.035087719298245,146345.9655172414,40197142.79310345,0.12875862068965513,59.52592451400973
OH,0,0,0.9138193181818184,0.45543181818181805,10.625,59574.13636363636,49423349.85227273,0.12264772727272724,59.9966405969222
OK,0,0,0.7865192982456137,0.3267894736842106,10.56140350877193,29562.19298245614,60184910.7368421,0.1650526315789474,54.57938795220374
OK,1,0,0.652485,0.13095000000000004,7.4,3088.1,9467960.0,0.16960000000000003,61.22792857142858
OR,0,0,0.877278125,0.564,10.78125,56358.84375,98415316.65625,0.12815625,63.31304629920208
OR,1,0,0.5836,0.20075,5.5,2566.0,64071659.5,0.14275,84.975
PA,0,1,0.8888656716417909,0.46992537313432836,11.0,85713.85074626865,81178396.47761194,0.12120895522388063,60.90323153129864
RI,0,0,0.9835,0.7411999999999999,,,,,47.85666666666667
SC,0,1,0.8027282608695652,0.3743260869565217,8.543478260869565,50977.45652173913,115187155.17391305,0.17797826086956517,52.84331846261017
SD,0,0,0.9260875000000001,0.48533333333333323,9.5,13183.833333333334,70268766.625,0.13933333333333334,53.991027501909855
SD,1,0,0.9205642857142857,0.3820238095238095,6.166666666666667,1832.452380952381,14798062.666666666,0.16069047619047622,61.04786278195488
TN,0,1,0.8756097826086959,0.40927173913043485,9.152173913043478,32812.217391304344,60568559.18478261,0.15592391304347825,56.337840713425415
TN,1,1,0.7366666666666667,0.2743333333333333,7.666666666666667,4293.666666666667,7812081.666666667,0.23833333333333337,59.64333333333334
TX,0,1,0.846671657754011,0.3889197860962567,9.994652406417112,60502.38502673797,44535325.37433155,0.1547272727272728,55.03214586442269
TX,1,1,0.7984029850746271,0.20122727272727273,7.8059701492537314,4110.119402985075,5777322.253731343,0.15410447761194035,68.69629700328406
UT,0,1,0.862842857142857,0.597642857142857,9.5,41091.642857142855,94807824.17857143,0.1005357142857143,43.49998406256442
UT,1,1,0.9973,0.204,5.0,848.0,1627810.0,0.157,
VA,0,1,0.8710626865671639,0.48423622047244086,8.680851063829786,26627.23404255319,78977259.10638298,0.12079787234042558,57.71249000628419
VA,1,1,0.7791666666666667,0.231,8.666666666666666,9537.666666666666,17275402.333333332,0.15,47.95000000000001
VT,0,0,0.9048642857142857,0.41785714285714287,9.571428571428571,23879.85714285714,57203400.571428575,0.10314285714285713,69.68355978148836
WA,0,1,0.9120156250000001,0.5230312500000001,11.28125,97147.40625,130393153.5625,0.12299999999999997,64.24324475791747
WA,1,1,0.8546714285714285,0.3221428571428572,10.428571428571429,13360.57142857143,38608611.428571425,0.13185714285714287,55.80778649921507
WI,0,1,0.8382434782608696,0.4203768115942029,11.666666666666666,39105.536231884056,55558288.347826086,0.10460869565217394,59.44992496342816
WI,1,1,0.7272,0.3026666666666667,12.333333333333334,9814.666666666666,46051862.0,0.12633333333333333,56.93923484848485
